Datetime,Open,High,Low,Close,Volume,Symbol
2026-02-01 13:57:00+05:30,27.4,27.45,26.0,26.55,113,NIFTY10FEB2625950CE
2026-02-01 14:00:00+05:30,26.55,27.5,25.7,26.05,193,NIFTY10FEB2625950CE
2026-02-01 14:03:00+05:30,26.15,26.35,25.2,25.65,39,NIFTY10FEB2625950CE
2026-02-01 14:06:00+05:30,25.9,26.35,25.1,25.2,89,NIFTY10FEB2625950CE
2026-02-01 14:09:00+05:30,25.25,25.4,24.5,25.25,130,NIFTY10FEB2625950CE
2026-02-01 14:12:00+05:30,25.0,25.6,24.9,25.15,93,NIFTY10FEB2625950CE
2026-02-01 14:15:00+05:30,25.15,26.35,24.0,25.6,163,NIFTY10FEB2625950CE
2026-02-01 14:18:00+05:30,25.3,26.8,25.15,26.25,111,NIFTY10FEB2625950CE
2026-02-01 14:21:00+05:30,25.6,25.75,24.55,25.1,131,NIFTY10FEB2625950CE
2026-02-01 14:24:00+05:30,24.95,26.4,24.9,26.2,31,NIFTY10FEB2625950CE
2026-02-01 14:27:00+05:30,26.3,26.3,25.4,25.4,81,NIFTY10FEB2625950CE
2026-02-01 14:30:00+05:30,25.25,26.15,25.05,26.05,41,NIFTY10FEB2625950CE
2026-02-01 14:33:00+05:30,25.9,26.45,25.6,25.85,59,NIFTY10FEB2625950CE
2026-02-01 14:36:00+05:30,26.0,28.7,25.65,25.9,121,NIFTY10FEB2625950CE
2026-02-01 14:39:00+05:30,26.3,26.5,26.0,26.15,68,NIFTY10FEB2625950CE
2026-02-01 14:42:00+05:30,26.6,26.6,24.65,24.9,42,NIFTY10FEB2625950CE
2026-02-01 14:45:00+05:30,24.25,25.15,24.0,24.1,37,NIFTY10FEB2625950CE
2026-02-01 14:48:00+05:30,24.25,24.25,22.45,22.65,112,NIFTY10FEB2625950CE
2026-02-01 14:51:00+05:30,22.7,22.7,20.9,21.95,236,NIFTY10FEB2625950CE
2026-02-01 14:54:00+05:30,22.05,22.1,21.05,21.6,190,NIFTY10FEB2625950CE
2026-02-01 14:57:00+05:30,21.45,21.85,20.0,21.05,1216,NIFTY10FEB2625950CE
2026-02-01 15:00:00+05:30,21.55,21.8,19.25,20.45,3161,NIFTY10FEB2625950CE
2026-02-01 15:03:00+05:30,20.45,21.1,19.9,20.8,1065,NIFTY10FEB2625950CE
2026-02-01 15:06:00+05:30,20.7,20.7,19.15,19.65,455,NIFTY10FEB2625950CE
2026-02-01 15:09:00+05:30,19.5,20.65,18.85,19.8,470,NIFTY10FEB2625950CE
2026-02-01 15:12:00+05:30,19.75,20.25,19.3,19.95,294,NIFTY10FEB2625950CE
2026-02-01 15:15:00+05:30,19.95,20.8,19.25,20.35,554,NIFTY10FEB2625950CE
2026-02-01 15:18:00+05:30,20.15,20.4,19.35,19.8,313,NIFTY10FEB2625950CE
2026-02-01 15:21:00+05:30,19.9,19.95,18.7,19.15,295,NIFTY10FEB2625950CE
2026-02-01 15:24:00+05:30,19.15,19.4,17.8,18.05,339,NIFTY10FEB2625950CE
2026-02-01 15:27:00+05:30,17.6,20.6,17.6,19.4,245,NIFTY10FEB2625950CE
